HOG	OG	Gene Tree Parent Clade	Acinetobacter_baumannii_17978	Acinetobacter_baumannii_19606	Acinetobacter_baumannii_19606_RS	Acinetobacter_baumannii_AB30	Acinetobacter_baumannii_AB30_RS
N0.HOG0000729	OG0000653	n0	A1S_0600	GO593_09430	GO593_RS09430	IX87_17500	IX87_RS17170
N0.HOG0000730	OG0000654	n0	A1S_0601	GO593_09435	GO593_RS09435	IX87_17505	IX87_RS17175
N0.HOG0000731	OG0000655	n0	A1S_0602	GO593_09440	GO593_RS09440	IX87_17510	IX87_RS17180
N0.HOG0000732	OG0000656	n0	A1S_0603	GO593_09445	GO593_RS09445	IX87_17515	IX87_RS17185
N0.HOG0000733	OG0000657	n0	A1S_0606	GO593_09465	GO593_RS09465	IX87_17530	IX87_RS17200
N0.HOG0000734	OG0000658	n0	A1S_0607	GO593_09470	GO593_RS09470	IX87_17535	IX87_RS17205
N0.HOG0000735	OG0000659	n0	A1S_0608	GO593_09475	GO593_RS09475	IX87_17540	IX87_RS17210
N0.HOG0000736	OG0000660	n0	A1S_0609	GO593_09480	GO593_RS09480	IX87_17545	IX87_RS17215
N0.HOG0000737	OG0000661	n0	A1S_0610	GO593_09485	GO593_RS09485	IX87_17550	IX87_RS17220
N0.HOG0000738	OG0000662	n0	A1S_0611	GO593_09490	GO593_RS09490	IX87_17555	IX87_RS17225
N0.HOG0000739	OG0000663	n0	A1S_0612	GO593_09495	GO593_RS09495	IX87_17560	IX87_RS17230
N0.HOG0000740	OG0000664	n0	A1S_0613	GO593_09500	GO593_RS09500	IX87_17565	IX87_RS17235
N0.HOG0000741	OG0000665	n0	A1S_0614	GO593_09505	GO593_RS09505	IX87_17570	IX87_RS17240
N0.HOG0000742	OG0000666	n0	A1S_0615	GO593_09510	GO593_RS09510	IX87_17575	IX87_RS17245
N0.HOG0000743	OG0000667	n0	A1S_0616	GO593_09515	GO593_RS09515	IX87_17580	IX87_RS17250
N0.HOG0000744	OG0000668	n0	A1S_0617	GO593_09520	GO593_RS09520	IX87_17585	IX87_RS17255
N0.HOG0000745	OG0000669	n0	A1S_0618	GO593_09525	GO593_RS09525	IX87_17590	IX87_RS17260
N0.HOG0000746	OG0000670	n0	A1S_0619	GO593_09535	GO593_RS09535	IX87_17600	IX87_RS17270
N0.HOG0000747	OG0000671	n0	A1S_0620	GO593_09540	GO593_RS09540	IX87_17605	IX87_RS17275
N0.HOG0000748	OG0000672	n0	A1S_0621	GO593_09545	GO593_RS09545	IX87_17610	IX87_RS17280
N0.HOG0000749	OG0000673	n0	A1S_0622	GO593_09550	GO593_RS09550	IX87_17615	IX87_RS17285
N0.HOG0000750	OG0000674	n0	A1S_0675	GO593_06680	GO593_RS06680	IX87_13165	IX87_RS12870
N0.HOG0000751	OG0000675	n0	A1S_0682	GO593_09580	GO593_RS09580	IX87_17645	IX87_RS17315
N0.HOG0000752	OG0000676	n0	A1S_0683	GO593_09585	GO593_RS09585	IX87_17650	IX87_RS17320
N0.HOG0000753	OG0000677	n0	A1S_0684	GO593_09590	GO593_RS09590	IX87_17655	IX87_RS17325
N0.HOG0000754	OG0000678	n0	A1S_0685	GO593_09595	GO593_RS09595	IX87_17660	IX87_RS17330
N0.HOG0000755	OG0000679	n0	A1S_0686	GO593_09600	GO593_RS09600	IX87_17665	IX87_RS17335
N0.HOG0000756	OG0000680	n0	A1S_0687	GO593_09605	GO593_RS09605	IX87_17670	IX87_RS17340
N0.HOG0000757	OG0000681	n0	A1S_0688	GO593_09610	GO593_RS09610	IX87_17675	IX87_RS17345
N0.HOG0000758	OG0000682	n0	A1S_0690	GO593_09620	GO593_RS09620	IX87_17685	IX87_RS17355
N0.HOG0000759	OG0000683	n0	A1S_0691	GO593_09625	GO593_RS09625	IX87_17690	IX87_RS17360
N0.HOG0000760	OG0000684	n0	A1S_0692	GO593_09630	GO593_RS09630	IX87_17695	IX87_RS17365
N0.HOG0000761	OG0000685	n0	A1S_0693	GO593_09635	GO593_RS09635	IX87_17700	IX87_RS17370
N0.HOG0000762	OG0000686	n0	A1S_0694	GO593_09640	GO593_RS09640	IX87_17705	IX87_RS22940
N0.HOG0000763	OG0000687	n0	A1S_0695	GO593_09645	GO593_RS09645	IX87_17710	IX87_RS17380
N0.HOG0000764	OG0000688	n0	A1S_0696	GO593_09650	GO593_RS09650	IX87_17715	IX87_RS17385
N0.HOG0000765	OG0000689	n0	A1S_0697	GO593_09655	GO593_RS09655	IX87_17720	IX87_RS17390
N0.HOG0000766	OG0000690	n0	A1S_0698	GO593_09660	GO593_RS09660	IX87_17725	IX87_RS17395
N0.HOG0000767	OG0000691	n0	A1S_0699	GO593_09665	GO593_RS09665	IX87_17730	IX87_RS17400
N0.HOG0000768	OG0000692	n0	A1S_0700	GO593_09670	GO593_RS09670	IX87_17735	IX87_RS17405
N0.HOG0000769	OG0000693	n0	A1S_0701	GO593_09675	GO593_RS09675	IX87_17740	IX87_RS17410
N0.HOG0000770	OG0000694	n0	A1S_0703	GO593_09680	GO593_RS09680	IX87_17745	IX87_RS17415
N0.HOG0000771	OG0000695	n0	A1S_0704	GO593_09685	GO593_RS09685	IX87_17750	IX87_RS17420
N0.HOG0000772	OG0000696	n0	A1S_0705	GO593_09690	GO593_RS09690	IX87_17755	IX87_RS17425
N0.HOG0000773	OG0000697	n0	A1S_0706	GO593_09695	GO593_RS09695	IX87_17760	IX87_RS17430
N0.HOG0000774	OG0000698	n0	A1S_0710	GO593_09720	GO593_RS09720	IX87_17785	IX87_RS17455
N0.HOG0000775	OG0000699	n0	A1S_0711	GO593_09725	GO593_RS09725	IX87_17790	IX87_RS17460
N0.HOG0000776	OG0000700	n0	A1S_0712	GO593_09730	GO593_RS09730	IX87_17795	IX87_RS17465
N0.HOG0000777	OG0000701	n0	A1S_0713	GO593_09735	GO593_RS09735	IX87_17800	IX87_RS17470
N0.HOG0000778	OG0000702	n0	A1S_0718	GO593_09760	GO593_RS09760	IX87_17825	IX87_RS17495
N0.HOG0000779	OG0000703	n0	A1S_0719	GO593_09765	GO593_RS09765	IX87_17830	IX87_RS17500
N0.HOG0000780	OG0000704	n0	A1S_0720	GO593_09770	GO593_RS09770	IX87_17835	IX87_RS17505
N0.HOG0000781	OG0000705	n0	A1S_0721	GO593_09775	GO593_RS09775	IX87_17840	IX87_RS17510
N0.HOG0000782	OG0000706	n0	A1S_0724	GO593_09800	GO593_RS09800	IX87_17855	IX87_RS17525
N0.HOG0000783	OG0000707	n0	A1S_0725	GO593_09805	GO593_RS09805	IX87_17860	IX87_RS17530
N0.HOG0000784	OG0000708	n0	A1S_0727	GO593_09815	GO593_RS09815	IX87_17870	IX87_RS17540
N0.HOG0000785	OG0000709	n0	A1S_0728	GO593_09820	GO593_RS09820	IX87_17875	IX87_RS17545
N0.HOG0000786	OG0000710	n0	A1S_0736	GO593_09840	GO593_RS09840	IX87_17930	IX87_RS17595
N0.HOG0000787	OG0000711	n0	A1S_0737	GO593_09845	GO593_RS09845	IX87_17935	IX87_RS17600
N0.HOG0000788	OG0000712	n0	A1S_0738	GO593_09850	GO593_RS09850	IX87_17940	IX87_RS17605
N0.HOG0000789	OG0000713	n0	A1S_0744	GO593_09895	GO593_RS09895	IX87_17975	IX87_RS17640
N0.HOG0000790	OG0000714	n0	A1S_0745	GO593_09900	GO593_RS09900	IX87_18000	IX87_RS17665
N0.HOG0000791	OG0000715	n0	A1S_0746	GO593_09905	GO593_RS09905	IX87_18005	IX87_RS17670
N0.HOG0000792	OG0000716	n0	A1S_0747	GO593_09915	GO593_RS09915	IX87_18015	IX87_RS17680
N0.HOG0000793	OG0000717	n0	A1S_0748	GO593_09925	GO593_RS09925	IX87_18025	IX87_RS17690
N0.HOG0000794	OG0000718	n0	A1S_0749	GO593_09930	GO593_RS09930	IX87_18030	IX87_RS17695
N0.HOG0000795	OG0000719	n0	A1S_0752	GO593_09945	GO593_RS09945	IX87_18075	IX87_RS17740
N0.HOG0000796	OG0000720	n0	A1S_0753	GO593_09950	GO593_RS09950	IX87_18080	IX87_RS17745
N0.HOG0000797	OG0000721	n0	A1S_0754	GO593_09955	GO593_RS09955	IX87_18085	IX87_RS17750
N0.HOG0000798	OG0000722	n0	A1S_0755	GO593_09960	GO593_RS09960	IX87_18090	IX87_RS17755
N0.HOG0000799	OG0000723	n0	A1S_0756	GO593_09965	GO593_RS09965	IX87_18095	IX87_RS17760
N0.HOG0000800	OG0000724	n0	A1S_0757	GO593_09970	GO593_RS09970	IX87_18100	IX87_RS17765
N0.HOG0000801	OG0000725	n0	A1S_0758	GO593_09975	GO593_RS09975	IX87_18105	IX87_RS17770
N0.HOG0000802	OG0000726	n0	A1S_0759	GO593_09980	GO593_RS09980	IX87_18110	IX87_RS17775
N0.HOG0000803	OG0000727	n0	A1S_0760	GO593_09985	GO593_RS09985	IX87_18115	IX87_RS17780
N0.HOG0000804	OG0000728	n0	A1S_0761	GO593_09990	GO593_RS09990	IX87_18120	IX87_RS17785
N0.HOG0000805	OG0000729	n0	A1S_0762	GO593_09995	GO593_RS09995	IX87_18125	IX87_RS17790
N0.HOG0000806	OG0000730	n0	A1S_0763	GO593_10000	GO593_RS10000	IX87_18130	IX87_RS17795
N0.HOG0000807	OG0000731	n0	A1S_0764	GO593_10005	GO593_RS10005	IX87_18135	IX87_RS17800
N0.HOG0000808	OG0000732	n0	A1S_0765	GO593_10010	GO593_RS10010	IX87_18140	IX87_RS17805
N0.HOG0000809	OG0000733	n0	A1S_0766	GO593_10015	GO593_RS10015	IX87_18145	IX87_RS17810
N0.HOG0000810	OG0000734	n0	A1S_0768	GO593_10020	GO593_RS10020	IX87_18150	IX87_RS17815
N0.HOG0000811	OG0000735	n0	A1S_0769	GO593_10025	GO593_RS10025	IX87_18155	IX87_RS17820
N0.HOG0000812	OG0000736	n0	A1S_0770	GO593_10030	GO593_RS10030	IX87_18160	IX87_RS17825
N0.HOG0000813	OG0000737	n0	A1S_0771	GO593_10040	GO593_RS10040	IX87_18170	IX87_RS17835
N0.HOG0000814	OG0000738	n0	A1S_0772	GO593_10050	GO593_RS10050	IX87_18180	IX87_RS17845
N0.HOG0000815	OG0000739	n0	A1S_0773	GO593_10055	GO593_RS10055	IX87_18185	IX87_RS17850
N0.HOG0000816	OG0000740	n0	A1S_0774	GO593_10060	GO593_RS10060	IX87_18190	IX87_RS17855
N0.HOG0000817	OG0000741	n0	A1S_0775	GO593_10065	GO593_RS10065	IX87_18195	IX87_RS17860
N0.HOG0000818	OG0000742	n0	A1S_0776	GO593_10070	GO593_RS10070	IX87_18200	IX87_RS17865
N0.HOG0000819	OG0000743	n0	A1S_0777	GO593_10075	GO593_RS10075	IX87_18205	IX87_RS17870
N0.HOG0000820	OG0000744	n0	A1S_0778	GO593_10085	GO593_RS10085	IX87_18215	IX87_RS17880
N0.HOG0000821	OG0000745	n0	A1S_0779	GO593_10090	GO593_RS10090	IX87_18220	IX87_RS17885
N0.HOG0000822	OG0000746	n0	A1S_0780	GO593_10095	GO593_RS10095	IX87_18225	IX87_RS17890
N0.HOG0000823	OG0000747	n0	A1S_0781	GO593_10100	GO593_RS10100	IX87_18230	IX87_RS17895
N0.HOG0000824	OG0000748	n0	A1S_0782	GO593_10105	GO593_RS10105	IX87_18235	IX87_RS17900
N0.HOG0000825	OG0000749	n0	A1S_0783	GO593_10110	GO593_RS10110	IX87_18240	IX87_RS17905
N0.HOG0000826	OG0000750	n0	A1S_0784	GO593_10115	GO593_RS10115	IX87_18245	IX87_RS17910
N0.HOG0000827	OG0000751	n0	A1S_0785	GO593_10120	GO593_RS10120	IX87_18250	IX87_RS17915
N0.HOG0000828	OG0000752	n0	A1S_0786	GO593_10125	GO593_RS10125	IX87_18255	IX87_RS17920
N0.HOG0000829	OG0000753	n0	A1S_0787	GO593_10130	GO593_RS10130	IX87_18260	IX87_RS17925
N0.HOG0000830	OG0000754	n0	A1S_0788	GO593_10135	GO593_RS10135	IX87_18265	IX87_RS17930
N0.HOG0000831	OG0000755	n0	A1S_0789	GO593_10145	GO593_RS10145	IX87_18275	IX87_RS17940
N0.HOG0000832	OG0000756	n0	A1S_0790	GO593_10150	GO593_RS10150	IX87_18280	IX87_RS17945
N0.HOG0000833	OG0000757	n0	A1S_0793	GO593_10160	GO593_RS10160	IX87_18290	IX87_RS17955
N0.HOG0000834	OG0000758	n0	A1S_0794	GO593_10165	GO593_RS10165	IX87_18295	IX87_RS17960
N0.HOG0000835	OG0000759	n0	A1S_0795	GO593_10170	GO593_RS10170	IX87_18300	IX87_RS17965
N0.HOG0000836	OG0000760	n0	A1S_0796	GO593_10175	GO593_RS10175	IX87_18315	IX87_RS17980
N0.HOG0000837	OG0000761	n0	A1S_0797	GO593_10180	GO593_RS10180	IX87_18320	IX87_RS17985
N0.HOG0000838	OG0000762	n0	A1S_0798	GO593_10185	GO593_RS10185	IX87_18325	IX87_RS17990
N0.HOG0000839	OG0000763	n0	A1S_0799	GO593_10190	GO593_RS10190	IX87_18330	IX87_RS17995
N0.HOG0000840	OG0000764	n0	A1S_0800	GO593_10195	GO593_RS10195	IX87_18335	IX87_RS18000
N0.HOG0000841	OG0000765	n0	A1S_0802	GO593_10200	GO593_RS10200	IX87_18340	IX87_RS18005
N0.HOG0000842	OG0000766	n0	A1S_0803	GO593_10205	GO593_RS10205	IX87_18345	IX87_RS18010
N0.HOG0000843	OG0000767	n0	A1S_0804	GO593_10210	GO593_RS10210	IX87_18350	IX87_RS18015
N0.HOG0000844	OG0000768	n0	A1S_0805	GO593_10215	GO593_RS10215	IX87_18355	IX87_RS18020
N0.HOG0000845	OG0000769	n0	A1S_0806	GO593_10220	GO593_RS10220	IX87_18360	IX87_RS18025
N0.HOG0000846	OG0000770	n0	A1S_0807	GO593_10225	GO593_RS10225	IX87_18365	IX87_RS18030
N0.HOG0000847	OG0000771	n0	A1S_0808	GO593_10230	GO593_RS10230	IX87_18370	IX87_RS18035
N0.HOG0000848	OG0000772	n0	A1S_0809	GO593_10235	GO593_RS10235	IX87_18375	IX87_RS18040
N0.HOG0000849	OG0000773	n0	A1S_0810	GO593_10240	GO593_RS10240	IX87_18380	IX87_RS18045
N0.HOG0000850	OG0000774	n0	A1S_0811	GO593_10245	GO593_RS10245	IX87_18385	IX87_RS18050
N0.HOG0000851	OG0000775	n0	A1S_0812	GO593_10250	GO593_RS10250	IX87_18390	IX87_RS18055
N0.HOG0000852	OG0000776	n0	A1S_0813	GO593_10255	GO593_RS10255	IX87_18395	IX87_RS18060
N0.HOG0000853	OG0000777	n0	A1S_0814	GO593_10260	GO593_RS10260	IX87_18400	IX87_RS18065
N0.HOG0000854	OG0000778	n0	A1S_0815	GO593_10265	GO593_RS10265	IX87_18405	IX87_RS18070
N0.HOG0000855	OG0000779	n0	A1S_0816	GO593_10270	GO593_RS10270	IX87_18410	IX87_RS18075
N0.HOG0000856	OG0000780	n0	A1S_0817	GO593_10275	GO593_RS10275	IX87_18415	IX87_RS18080
N0.HOG0000857	OG0000781	n0	A1S_0819	GO593_10285	GO593_RS10285	IX87_18425	IX87_RS18090
N0.HOG0000858	OG0000782	n0	A1S_0820	GO593_10290	GO593_RS10290	IX87_18430	IX87_RS18095
N0.HOG0000859	OG0000783	n0	A1S_0821	GO593_10295	GO593_RS10295	IX87_18435	IX87_RS18100
N0.HOG0000860	OG0000784	n0	A1S_0822	GO593_10300	GO593_RS10300	IX87_18440	IX87_RS18105
N0.HOG0000861	OG0000785	n0	A1S_0823	GO593_10305	GO593_RS10305	IX87_18445	IX87_RS18110
N0.HOG0000862	OG0000786	n0	A1S_0824	GO593_10315	GO593_RS10315	IX87_18455	IX87_RS18120
N0.HOG0000863	OG0000787	n0	A1S_0825	GO593_10320	GO593_RS10320	IX87_18460	IX87_RS18125
N0.HOG0000864	OG0000788	n0	A1S_0826	GO593_10325	GO593_RS10325	IX87_18465	IX87_RS18130
N0.HOG0000865	OG0000789	n0	A1S_0828	GO593_10330	GO593_RS10330	IX87_18470	IX87_RS18135
N0.HOG0000866	OG0000790	n0	A1S_0829	GO593_10335	GO593_RS10335	IX87_18475	IX87_RS18140
N0.HOG0000867	OG0000791	n0	A1S_0834	GO593_10360	GO593_RS10360	IX87_18500	IX87_RS18165
N0.HOG0000868	OG0000792	n0	A1S_0835	GO593_10365	GO593_RS10365	IX87_18505	IX87_RS18170
N0.HOG0000869	OG0000793	n0	A1S_0836	GO593_10370	GO593_RS10370	IX87_18510	IX87_RS18175
N0.HOG0000870	OG0000794	n0	A1S_0837	GO593_10375	GO593_RS10375	IX87_18515	IX87_RS18180
N0.HOG0000871	OG0000795	n0	A1S_0838	GO593_10380	GO593_RS10380	IX87_18520	IX87_RS18185
N0.HOG0000872	OG0000796	n0	A1S_0840	GO593_10385	GO593_RS10385	IX87_18525	IX87_RS18190
N0.HOG0000873	OG0000797	n0	A1S_0841	GO593_10390	GO593_RS10390	IX87_18530	IX87_RS18195
N0.HOG0000874	OG0000798	n0	A1S_0842	GO593_10395	GO593_RS10395	IX87_18535	IX87_RS18200
N0.HOG0000875	OG0000799	n0	A1S_0843	GO593_10400	GO593_RS10400	IX87_18540	IX87_RS18205
N0.HOG0000876	OG0000800	n0	A1S_0844	GO593_10405	GO593_RS10405	IX87_18545	IX87_RS18210
N0.HOG0000877	OG0000801	n0	A1S_0845	GO593_10410	GO593_RS10410	IX87_01935	IX87_RS01860
N0.HOG0000878	OG0000802	n0	A1S_0847	GO593_10430	GO593_RS10430	IX87_01920	IX87_RS01845
N0.HOG0000879	OG0000803	n0	A1S_0848	GO593_10435	GO593_RS10435	IX87_01915	IX87_RS01840
N0.HOG0000880	OG0000804	n0	A1S_0849	GO593_10440	GO593_RS10440	IX87_01910	IX87_RS01835
N0.HOG0000881	OG0000805	n0	A1S_0850	GO593_10445	GO593_RS10445	IX87_01905	IX87_RS01830
N0.HOG0000882	OG0000806	n0	A1S_0851	GO593_10450	GO593_RS10450	IX87_01900	IX87_RS01825
N0.HOG0000883	OG0000807	n0	A1S_0852	GO593_10455	GO593_RS10455	IX87_01895	IX87_RS01820
N0.HOG0000884	OG0000808	n0	A1S_0855	GO593_10465	GO593_RS10465	IX87_01885	IX87_RS01810
N0.HOG0000885	OG0000809	n0	A1S_0857	GO593_10475	GO593_RS10475	IX87_01875	IX87_RS01800
N0.HOG0000886	OG0000810	n0	A1S_0859	GO593_10480	GO593_RS10480	IX87_01870	IX87_RS01795
N0.HOG0000887	OG0000811	n0	A1S_0860	GO593_10485	GO593_RS10485	IX87_01865	IX87_RS01790
N0.HOG0000888	OG0000812	n0	A1S_0861	GO593_10490	GO593_RS10490	IX87_01860	IX87_RS01785
N0.HOG0000889	OG0000813	n0	A1S_0862	GO593_10495	GO593_RS10495	IX87_01855	IX87_RS01780
N0.HOG0000890	OG0000814	n0	A1S_0865	GO593_10505	GO593_RS10505	IX87_01845	IX87_RS01770
N0.HOG0000891	OG0000815	n0	A1S_0866	GO593_10510	GO593_RS10510	IX87_01840	IX87_RS01765
N0.HOG0000892	OG0000816	n0	A1S_0867	GO593_10515	GO593_RS10515	IX87_01835	IX87_RS01760
N0.HOG0000893	OG0000817	n0	A1S_0868	GO593_10520	GO593_RS10520	IX87_01830	IX87_RS01755
N0.HOG0000894	OG0000818	n0	A1S_0872	GO593_10540	GO593_RS10540	IX87_01795	IX87_RS01725
N0.HOG0000895	OG0000819	n0	A1S_0873	GO593_10545	GO593_RS10545	IX87_01790	IX87_RS01720
N0.HOG0000896	OG0000820	n0	A1S_0874	GO593_10550	GO593_RS10550	IX87_01785	IX87_RS01715
N0.HOG0000897	OG0000821	n0	A1S_0875	GO593_10555	GO593_RS10555	IX87_01780	IX87_RS01710
N0.HOG0000898	OG0000822	n0	A1S_0876	GO593_10560	GO593_RS10560	IX87_01775	IX87_RS01705
N0.HOG0000899	OG0000823	n0	A1S_0877	GO593_10565	GO593_RS10565	IX87_01770	IX87_RS01700
N0.HOG0000900	OG0000824	n0	A1S_0878	GO593_10570	GO593_RS10570	IX87_01765	IX87_RS01695
N0.HOG0000901	OG0000825	n0	A1S_0879	GO593_10575	GO593_RS10575	IX87_01760	IX87_RS01690
N0.HOG0000902	OG0000826	n0	A1S_0880	GO593_10580	GO593_RS10580	IX87_01755	IX87_RS01685
N0.HOG0000903	OG0000827	n0	A1S_0881	GO593_10585	GO593_RS10585	IX87_01750	IX87_RS01680
N0.HOG0000904	OG0000828	n0	A1S_0882	GO593_10590	GO593_RS10590	IX87_01745	IX87_RS01675
N0.HOG0000905	OG0000829	n0	A1S_0883	GO593_10595	GO593_RS10595	IX87_01740	IX87_RS01670
N0.HOG0000906	OG0000830	n0	A1S_0884	GO593_10600	GO593_RS10600	IX87_01735	IX87_RS01665
N0.HOG0000907	OG0000831	n0	A1S_0885	GO593_10605	GO593_RS10605	IX87_01730	IX87_RS01660
N0.HOG0000908	OG0000832	n0	A1S_0886	GO593_10610	GO593_RS10610	IX87_01725	IX87_RS01655
N0.HOG0000909	OG0000833	n0	A1S_0887	GO593_10615	GO593_RS10615	IX87_01720	IX87_RS01650
N0.HOG0000910	OG0000834	n0	A1S_0888	GO593_10620	GO593_RS10620	IX87_01715	IX87_RS01645
N0.HOG0000911	OG0000835	n0	A1S_0889	GO593_10625	GO593_RS10625	IX87_01710	IX87_RS01640
N0.HOG0000912	OG0000836	n0	A1S_0890	GO593_10630	GO593_RS10630	IX87_01705	IX87_RS01635
N0.HOG0000913	OG0000837	n0	A1S_0891	GO593_10635	GO593_RS10635	IX87_01700	IX87_RS01630
N0.HOG0000914	OG0000838	n0	A1S_0892	GO593_10640	GO593_RS10640	IX87_01695	IX87_RS01625
N0.HOG0000915	OG0000839	n0	A1S_0893	GO593_10645	GO593_RS10645	IX87_01690	IX87_RS01620
N0.HOG0000916	OG0000840	n0	A1S_0894	GO593_10650	GO593_RS10650	IX87_01685	IX87_RS01615
N0.HOG0000917	OG0000841	n0	A1S_0895	GO593_10655	GO593_RS10655	IX87_01680	IX87_RS01610
N0.HOG0000918	OG0000842	n0	A1S_0896	GO593_10660	GO593_RS10660	IX87_01675	IX87_RS01605
N0.HOG0000919	OG0000843	n0	A1S_0898	GO593_10670	GO593_RS10670	IX87_01665	IX87_RS01595
N0.HOG0000920	OG0000844	n0	A1S_0899	GO593_10675	GO593_RS10675	IX87_01655	IX87_RS01590
N0.HOG0000921	OG0000845	n0	A1S_0900	GO593_10680	GO593_RS10680	IX87_01650	IX87_RS01585
N0.HOG0000922	OG0000846	n0	A1S_0901	GO593_10685	GO593_RS10685	IX87_01645	IX87_RS01580
N0.HOG0000923	OG0000847	n0	A1S_0902	GO593_10690	GO593_RS10690	IX87_01640	IX87_RS01575
N0.HOG0000924	OG0000848	n0	A1S_0903	GO593_10695	GO593_RS10695	IX87_01635	IX87_RS01570
N0.HOG0000925	OG0000849	n0	A1S_0904	GO593_10700	GO593_RS10700	IX87_01630	IX87_RS01565
N0.HOG0000926	OG0000850	n0	A1S_0905	GO593_10705	GO593_RS10705	IX87_01625	IX87_RS01560
N0.HOG0000927	OG0000851	n0	A1S_0906	GO593_10710	GO593_RS10710	IX87_01620	IX87_RS01555
N0.HOG0000928	OG0000852	n0	A1S_0907	GO593_10715	GO593_RS10715	IX87_01615	IX87_RS01550
N0.HOG0000929	OG0000853	n0	A1S_0908	GO593_10720	GO593_RS10720	IX87_01610	IX87_RS01545
N0.HOG0000930	OG0000854	n0	A1S_0909	GO593_10725	GO593_RS10725	IX87_01605	IX87_RS01540
N0.HOG0000931	OG0000855	n0	A1S_0910	GO593_10730	GO593_RS10730	IX87_01600	IX87_RS01535
N0.HOG0000932	OG0000856	n0	A1S_0915	GO593_10915	GO593_RS10915	IX87_01000	IX87_RS00960
N0.HOG0000933	OG0000857	n0	A1S_0916	GO593_10920	GO593_RS10920	IX87_00995	IX87_RS00955
N0.HOG0000934	OG0000858	n0	A1S_0917	GO593_10925	GO593_RS10925	IX87_00990	IX87_RS00950
N0.HOG0000935	OG0000859	n0	A1S_0919	GO593_10955	GO593_RS10955	IX87_00940	IX87_RS00900
N0.HOG0000936	OG0000860	n0	A1S_0920	GO593_10960	GO593_RS10960	IX87_00935	IX87_RS00895
N0.HOG0000937	OG0000861	n0	A1S_0921	GO593_10965	GO593_RS10965	IX87_00930	IX87_RS00890
N0.HOG0000938	OG0000862	n0	A1S_0922	GO593_10970	GO593_RS10970	IX87_00925	IX87_RS00885
N0.HOG0000939	OG0000863	n0	A1S_0923	GO593_10980	GO593_RS10980	IX87_00905	IX87_RS00865
N0.HOG0000940	OG0000864	n0	A1S_0924	GO593_10985	GO593_RS10985	IX87_00900	IX87_RS00860
N0.HOG0000941	OG0000865	n0	A1S_0927	GO593_10990	GO593_RS10990	IX87_00895	IX87_RS00855
N0.HOG0000942	OG0000866	n0	A1S_0928	GO593_10995	GO593_RS10995	IX87_00890	IX87_RS00850
N0.HOG0000943	OG0000867	n0	A1S_0929	GO593_11000	GO593_RS11000	IX87_00885	IX87_RS00845
N0.HOG0000944	OG0000868	n0	A1S_0930	GO593_11005	GO593_RS11005	IX87_00880	IX87_RS00840
N0.HOG0000945	OG0000869	n0	A1S_0932	GO593_11010	GO593_RS11010	IX87_00875	IX87_RS00835
N0.HOG0000946	OG0000870	n0	A1S_0933	GO593_11015	GO593_RS11015	IX87_00870	IX87_RS00830
N0.HOG0000947	OG0000871	n0	A1S_0934	GO593_11025	GO593_RS11025	IX87_00860	IX87_RS00820
N0.HOG0000948	OG0000872	n0	A1S_0935	GO593_11030	GO593_RS11030	IX87_00855	IX87_RS00815
N0.HOG0000949	OG0000873	n0	A1S_0936	GO593_11035	GO593_RS11035	IX87_00850	IX87_RS00810
N0.HOG0000950	OG0000874	n0	A1S_0937	GO593_11040	GO593_RS11040	IX87_00845	IX87_RS00805
N0.HOG0000951	OG0000875	n0	A1S_0938	GO593_11045	GO593_RS11045	IX87_00840	IX87_RS00800
N0.HOG0000952	OG0000876	n0	A1S_0939	GO593_11050	GO593_RS11050	IX87_00835	IX87_RS00795
N0.HOG0000953	OG0000877	n0	A1S_0940	GO593_11055	GO593_RS11055	IX87_00830	IX87_RS00790
N0.HOG0000954	OG0000878	n0	A1S_0941	GO593_11060	GO593_RS11060	IX87_00825	IX87_RS00785
N0.HOG0000955	OG0000879	n0	A1S_0942	GO593_11065	GO593_RS11065	IX87_00820	IX87_RS00780
N0.HOG0000956	OG0000880	n0	A1S_0943	GO593_11070	GO593_RS11070	IX87_00815	IX87_RS00775
N0.HOG0000957	OG0000881	n0	A1S_0944	GO593_11075	GO593_RS11075	IX87_00810	IX87_RS00770
N0.HOG0000958	OG0000882	n0	A1S_0945	GO593_11080	GO593_RS11080	IX87_00805	IX87_RS00765
N0.HOG0000959	OG0000883	n0	A1S_0946	GO593_11085	GO593_RS11085	IX87_00800	IX87_RS00760
N0.HOG0000960	OG0000884	n0	A1S_0947	GO593_11090	GO593_RS11090	IX87_00795	IX87_RS00755
N0.HOG0000961	OG0000885	n0	A1S_0948	GO593_11095	GO593_RS11095	IX87_00790	IX87_RS00750
N0.HOG0000962	OG0000886	n0	A1S_0949	GO593_11100	GO593_RS11100	IX87_00785	IX87_RS00745
N0.HOG0000963	OG0000887	n0	A1S_0951	GO593_11105	GO593_RS11105	IX87_00780	IX87_RS00740
N0.HOG0000964	OG0000888	n0	A1S_0952	GO593_11110	GO593_RS11110	IX87_00775	IX87_RS00735
N0.HOG0000965	OG0000889	n0	A1S_0953	GO593_11115	GO593_RS11115	IX87_00770	IX87_RS00730
N0.HOG0000966	OG0000890	n0	A1S_0954	GO593_11120	GO593_RS11120	IX87_00765	IX87_RS00725
N0.HOG0000967	OG0000891	n0	A1S_0955	GO593_11125	GO593_RS11125	IX87_00760	IX87_RS00720
