HOG	OG	Gene Tree Parent Clade	Acinetobacter_baumannii_19606	Acinetobacter_baumannii_AB030	Acinetobacter_baumannii_AB5075_UW	Acinetobacter_baumannii_ATCC_17978	Escherichia_coli_BW25113	Escherichia_coli_MG1655	Pseudomonas_aeruginosa_PAO1
N0.HOG0000390	OG0000324	n0	GO593_00130	IX87_07350	ABUW_1450	HKO16_11950	BW25113_2494	b2494	PA5047, PA1005
N0.HOG0000391	OG0000325	n0	GO593_00135	IX87_07355	ABUW_1449	HKO16_11955	BW25113_3553	b3553	PA3896, PA2263
N0.HOG0000392	OG0000326	n0	GO593_00220	IX87_19970, IX87_07440	ABUW_1373	HKO16_12040	BW25113_4407	b4407	PA0380
N0.HOG0000393	OG0000327	n0	GO593_00225	IX87_19965, IX87_07445	ABUW_1372	HKO16_12045	BW25113_3991	b3991	PA0381
N0.HOG0000394	OG0000328	n0	GO593_00360	IX87_07580	ABUW_1346	HKO16_12205	BW25113_4340	b4340	PA2897, PA2032
N0.HOG0000395	OG0000329	n0	GO593_00385	IX87_07605	ABUW_1341	HKO16_12230	BW25113_2307	b2307	PA2925, PA0890
N0.HOG0000396	OG0000330	n0	GO593_00435	IX87_07655, IX87_01540	ABUW_1331, ABUW_0541	HKO16_12280	BW25113_1844	b1844	
N0.HOG0000397	OG0000331	n0	GO593_16720, GO593_00655	IX87_18630, IX87_02125, IX87_04980, IX87_06020, IX87_08365		HKO16_08120			
N0.HOG0000398	OG0000332	n0	GO593_12695, GO593_00680	IX87_08385, IX87_07790, IX87_10555, IX87_06040	ABUW_1413, ABUW_1277				
N0.HOG0000399	OG0000333	n0	GO593_00830	IX87_07950	ABUW_1243	HKO16_12320	BW25113_2701	b2701	PA4001, PA4444
N0.HOG0000400	OG0000334	n0	GO593_00835	IX87_07955	ABUW_1242	HKO16_12325	BW25113_0633	b0633	PA4000, PA4485
N0.HOG0000401	OG0000335	n0	GO593_00880, GO593_18125	IX87_08000, IX87_06355	ABUW_1233, ABUW_1656	HKO16_12370, HKO16_11070			
N0.HOG0000402	OG0000336	n0	GO593_01065	IX87_08570	ABUW_1195	HKO16_12555	BW25113_2153	b2153	PA1674, PA3438
N0.HOG0000403	OG0000337	n0	GO593_01100	IX87_08615	ABUW_1188	HKO16_13620, HKO16_12590	BW25113_0593	b0593	PA4231
N0.HOG0000404	OG0000338	n0	GO593_01110	IX87_08625	ABUW_1186	HKO16_13560, HKO16_12600			PA2425, PA2411, PA4229
N0.HOG0000405	OG0000339	n0	GO593_01140	IX87_08655	ABUW_1180	HKO16_12630, HKO16_13590	BW25113_0594	b0594	PA4228
N0.HOG0000406	OG0000340	n0	GO593_01200	IX87_08715	ABUW_1166	HKO16_12690	BW25113_3117	b3117	PA2683, PA0851
N0.HOG0000407	OG0000341	n0	GO593_01295	IX87_08820	ABUW_1131	HKO16_12865	BW25113_2865	b2865	PA4924, PA3623
N0.HOG0000408	OG0000342	n0	GO593_01445	IX87_08970	ABUW_3000, ABUW_1101	HKO16_13015	BW25113_0059	b0059	PA3308
N0.HOG0000409	OG0000343	n0	GO593_01655	IX87_09175	ABUW_1049	HKO16_13225	BW25113_3819	b3819	PA3473, PA0485
N0.HOG0000410	OG0000344	n0	GO593_01765	IX87_09280	ABUW_1030	HKO16_13335	BW25113_2568	b2568	PA1303, PA0768
N0.HOG0000411	OG0000345	n0	GO593_01905	IX87_09425	ABUW_1001	HKO16_13650	BW25113_0160	b0160	PA3043, PA1124
N0.HOG0000412	OG0000346	n0	GO593_01930	IX87_09450	ABUW_0996	HKO16_13675	BW25113_0737	b0737	PA0693, PA0969
N0.HOG0000413	OG0000347	n0	GO593_02040	IX87_09570	ABUW_0974	HKO16_13785	BW25113_1118	b1118	PA2986, PA2988
N0.HOG0000414	OG0000348	n0	GO593_02045	IX87_09575	ABUW_0973	HKO16_13790	BW25113_1959	b1959	PA2101, PA4783
N0.HOG0000415	OG0000349	n0	GO593_02120	IX87_09650	ABUW_0957	HKO16_17895, HKO16_13870	BW25113_3811	b3811	PA5280
N0.HOG0000416	OG0000350	n0	GO593_02145	IX87_09665	ABUW_0953	HKO16_13885, HKO16_19145	BW25113_2838	b2838	PA5277
N0.HOG0000417	OG0000351	n0	GO593_02255	IX87_09810	ABUW_0928	HKO16_14035	BW25113_2558	b2558	PA2865, PA3764
N0.HOG0000418	OG0000352	n0	GO593_02290	IX87_09845	ABUW_0921	HKO16_14070	BW25113_2239	b2239	PA0347, PA2352
N0.HOG0000419	OG0000353	n0	GO593_02335	IX87_09890	ABUW_0912	HKO16_14110	BW25113_3426	b3426	PA3584, PA3025
N0.HOG0000420	OG0000354	n0	GO593_02400	IX87_09960	ABUW_0899	HKO16_14175	BW25113_3178	b3178	PA0657, PA4751
N0.HOG0000421	OG0000355	n0	GO593_02775	IX87_10355	ABUW_0825	HKO16_13550, HKO16_14555	BW25113_0433	b0433	PA4218
N0.HOG0000422	OG0000356	n0	GO593_02835	IX87_10675	ABUW_0730	HKO16_14615	BW25113_3010	b3010	PA1380, PA2276
N0.HOG0000423	OG0000357	n0	GO593_02860	IX87_10705	ABUW_0725	HKO16_14640			PA1224, PA0853, PA1225, PA4975
N0.HOG0000424	OG0000358	n0	GO593_03195	IX87_11060	ABUW_0654	HKO16_14980	BW25113_3654	b3654	PA0352, PA0166
N0.HOG0000425	OG0000359	n0	GO593_03250	IX87_11120	ABUW_0642	HKO16_15040	BW25113_0124	b0124	PA1982, PA2290
N0.HOG0000426	OG0000360	n0	GO593_03290	IX87_11160	ABUW_0634	HKO16_15080	BW25113_2267	b2267	PA2631, PA0115
N0.HOG0000427	OG0000361	n0	GO593_11310, GO593_03335	IX87_00575, IX87_11220	ABUW_2906, ABUW_0625	HKO16_04775, HKO16_15125			
N0.HOG0000428	OG0000362	n0	GO593_03470, GO593_11885	IX87_11345	ABUW_0600, ABUW_5008	HKO16_15250, HKO16_19275			PA0781
N0.HOG0000429	OG0000363	n0	GO593_03765	IX87_11690	ABUW_0495	HKO16_15785	BW25113_0052	b0052	PA0593, PA2212
N0.HOG0000430	OG0000364	n0	GO593_03920	IX87_11845	ABUW_0463	HKO16_15940	BW25113_0660	b0660	PA3919, PA3981
N0.HOG0000431	OG0000365	n0	GO593_03945	IX87_11870	ABUW_0458	HKO16_15965	BW25113_0469	b0469	PA5298, PA1543
N0.HOG0000432	OG0000366	n0	GO593_03955	IX87_11880	ABUW_0456	HKO16_15975	BW25113_3886	b3886	PA0951, PA2751
N0.HOG0000433	OG0000367	n0	GO593_03970	IX87_11895	ABUW_0453	HKO16_15990	BW25113_1180	b1180	PA0318, PA2471
N0.HOG0000434	OG0000368	n0	GO593_04290	IX87_12225	ABUW_0388	HKO16_06330, HKO16_16315	BW25113_3816	b3816	PA5268
N0.HOG0000435	OG0000369	n0	GO593_04310	IX87_12245	ABUW_0384	HKO16_16335	BW25113_3194	b3194	PA3211, PA4455
N0.HOG0000436	OG0000370	n0	GO593_04315	IX87_12250	ABUW_0383	HKO16_16340	BW25113_3195	b3195	PA3212, PA4456
N0.HOG0000437	OG0000371	n0	GO593_04510	IX87_12480	ABUW_0340	HKO16_16545	BW25113_1688	b1688	PA2651, PA1625
N0.HOG0000438	OG0000372	n0	GO593_04685	IX87_12665	ABUW_0306	HKO16_16720	BW25113_3336	b3336	PA3531, PA4880
N0.HOG0000439	OG0000373	n0	GO593_04805	IX87_12845	ABUW_0283	HKO16_16835	BW25113_0084	b0084	PA4418, PA2272
N0.HOG0000440	OG0000374	n0	GO593_04880	IX87_12930	ABUW_0268	HKO16_16910, HKO16_15510	BW25113_0575	b0575	PA2520
N0.HOG0000441	OG0000375	n0	GO593_04950	IX87_13020	ABUW_0255	HKO16_16995	BW25113_2920	b2920	PA5445, PA5299
N0.HOG0000442	OG0000376	n0	GO593_04980	IX87_13050	ABUW_0249	HKO16_17025	BW25113_2023	b2023	PA5142, PA3152
N0.HOG0000443	OG0000377	n0	GO593_05025	IX87_13100	ABUW_0240	HKO16_17075	BW25113_2025	b2025	PA5140, PA3151
N0.HOG0000444	OG0000378	n0	GO593_05125	IX87_13290	ABUW_0218		BW25113_0419	b0419	PA2535, PA3795, PA1739
N0.HOG0000445	OG0000379	n0	GO593_05150	IX87_13315	ABUW_0213	HKO16_17235	BW25113_1596	b1596	PA5219, PA5030
N0.HOG0000446	OG0000380	n0	GO593_05200	IX87_13415	ABUW_0202	HKO16_17295			PA1654, PA0268, PA5431, PA4165
N0.HOG0000447	OG0000381	n0	GO593_05260	IX87_13440	ABUW_0542, ABUW_0197	HKO16_17320	BW25113_4059	b4059	PA4232
N0.HOG0000448	OG0000382	n0	GO593_05350	IX87_13540	ABUW_0179	HKO16_17410	BW25113_0937	b0937	PA2357, PA3446
N0.HOG0000449	OG0000383	n0	GO593_05380	IX87_13570	ABUW_0173	HKO16_17440	BW25113_2924	b2924	PA4394, PA4925
N0.HOG0000450	OG0000384	n0	GO593_05470	IX87_13670	ABUW_0154	HKO16_17530	BW25113_1856	b1856	PA4404, PA0667
N0.HOG0000451	OG0000385	n0	GO593_05500	IX87_13700	ABUW_0148	HKO16_17560	BW25113_0092	b0092	PA4410, PA4201
N0.HOG0000452	OG0000386	n0	GO593_05560	IX87_13785	ABUW_0136	HKO16_17625	BW25113_4136	b4136	PA2478, PA4845
N0.HOG0000453	OG0000387	n0	GO593_05595	IX87_13820	ABUW_0129	HKO16_17660	BW25113_2888	b2888	PA2938, PA1507
N0.HOG0000454	OG0000388	n0	GO593_05655	IX87_13895	ABUW_0115	HKO16_00580	BW25113_1185	b1185	PA5256, PA0538
N0.HOG0000455	OG0000389	n0	GO593_05700	IX87_13940	ABUW_0106	HKO16_00535	BW25113_0399	b0399	PA5360, PA4396
N0.HOG0000456	OG0000390	n0	GO593_05720	IX87_13960	ABUW_0102	HKO16_00515	BW25113_2521	b2521	PA4956, PA1292
N0.HOG0000457	OG0000391	n0	GO593_05725	IX87_13965	ABUW_0101	HKO16_00510	BW25113_0931	b0931	PA4919, PA4376
N0.HOG0000458	OG0000392	n0	GO593_05755	IX87_13985	ABUW_0097	HKO16_00480	BW25113_4388	b4388	PA4960, PA1089
N0.HOG0000459	OG0000393	n0	GO593_05795	IX87_14025	ABUW_0089	HKO16_00440	BW25113_3729	b3729	PA5549, PA3759
N0.HOG0000460	OG0000394	n0	GO593_05825	IX87_14055	ABUW_0079	HKO16_00395	BW25113_0402	b0402	PA5097, PA0789
N0.HOG0000461	OG0000395	n0	GO593_05985	IX87_14215	ABUW_0047	HKO16_00235	BW25113_3549	b3549	PA1193, PA0010
N0.HOG0000462	OG0000396	n0	GO593_06185, GO593_06180	IX87_14410, IX87_14405	ABUW_0008, ABUW_0009	HKO16_00040, HKO16_00045			
N0.HOG0000463	OG0000397	n0	GO593_06515	IX87_14765	ABUW_3846	HKO16_18845	BW25113_3860	b3860	PA5489, PA0118
N0.HOG0000464	OG0000398	n0	GO593_06815	IX87_14820	ABUW_3836	HKO16_18790	BW25113_1069	b1069	PA2241, PA4562
N0.HOG0000465	OG0000399	n0	GO593_06820	IX87_14825	ABUW_3835	HKO16_18785	BW25113_4207	b4207	PA5254, PA4572
N0.HOG0000466	OG0000400	n0	GO593_06830	IX87_14835	ABUW_3833	HKO16_18775	BW25113_2060, BW25113_0981	b2060, b0981	
N0.HOG0000467	OG0000401	n0	GO593_06835	IX87_14840	ABUW_3832	HKO16_18770	BW25113_2061, BW25113_0982	b2061, b0982	
N0.HOG0000468	OG0000402	n0	GO593_06845	IX87_14850	ABUW_3830, ABUW_3828	HKO16_18760	BW25113_3787	b3787	PA3159
N0.HOG0000469	OG0000403	n0	GO593_06940	IX87_14960	ABUW_3812	HKO16_18665	BW25113_3605	b3605	PA4771, PA2382
N0.HOG0000470	OG0000404	n0	GO593_06950	IX87_14970	ABUW_3810	HKO16_18655	BW25113_4054	b4054	PA3139, PA0870
N0.HOG0000471	OG0000405	n0	GO593_06960	IX87_14980	ABUW_3808	HKO16_18640	BW25113_0331	b0331	PA0796, PA4872
N0.HOG0000472	OG0000406	n0	GO593_07120	IX87_15100	ABUW_3782	HKO16_18485			PA1576, PA2199, PA0743, PA3569
N0.HOG0000473	OG0000407	n0	GO593_07240	IX87_15230	ABUW_3758	HKO16_18365	BW25113_2317	b2317	PA1209, PA4029
N0.HOG0000474	OG0000408	n0	GO593_07315	IX87_15305	ABUW_3743	HKO16_18290	BW25113_1859	b1859	PA2409, PA5501
N0.HOG0000475	OG0000409	n0	GO593_07320	IX87_15310	ABUW_3742	HKO16_18285	BW25113_1858	b1858	PA2408, PA5500
N0.HOG0000476	OG0000410	n0	GO593_07330	IX87_15320	ABUW_3740	HKO16_18275	BW25113_1857	b1857	PA2407, PA5498
N0.HOG0000477	OG0000411	n0	GO593_07400	IX87_15390	ABUW_3726	HKO16_18200	BW25113_1111	b1111	PA2931, PA2484
N0.HOG0000478	OG0000412	n0	GO593_07610	IX87_15620	ABUW_3681	HKO16_17990	BW25113_2800	b2800	PA0224, PA3430
N0.HOG0000479	OG0000413	n0	GO593_07770	IX87_15795	ABUW_3627	HKO16_01320	BW25113_0145	b0145	PA5536, PA4723
N0.HOG0000480	OG0000414	n0	GO593_14010, GO593_07800	IX87_03830, IX87_15825	ABUW_2550, ABUW_3621	HKO16_06680, HKO16_01350			
N0.HOG0000481	OG0000415	n0	GO593_08000	IX87_16030	ABUW_3581	HKO16_01555	BW25113_0473	b0473	PA1596, PA1068
N0.HOG0000482	OG0000416	n0	GO593_08080	IX87_16125	ABUW_3565	HKO16_01640	BW25113_2213	b2213	PA3596, PA2118
N0.HOG0000483	OG0000417	n0	GO593_08245	IX87_16300	ABUW_3531	HKO16_01805	BW25113_2026	b2026	PA5066, PA5067
N0.HOG0000484	OG0000418	n0	GO593_08380	IX87_16435	ABUW_3504	HKO16_01940	BW25113_3470	b3470	PA1006, PA1564
N0.HOG0000485	OG0000419	n0	GO593_08455	IX87_16510	ABUW_3488	HKO16_02020			PA2355, PA3939, PA2346, PA2325
N0.HOG0000486	OG0000420	n0	GO593_08475	IX87_16530	ABUW_0684, ABUW_3484	HKO16_02040	BW25113_2955	b2955	PA0386
N0.HOG0000487	OG0000421	n0	GO593_08670	IX87_16730	ABUW_3446	HKO16_02230			PA4507, PA2710, PA1620, PA3665
N0.HOG0000488	OG0000422	n0	GO593_08700	IX87_16760	ABUW_3440	HKO16_02260, HKO16_00635	BW25113_1274	b1274	PA3011
N0.HOG0000489	OG0000423	n0	GO593_08740	IX87_16800	ABUW_3432	HKO16_02300	BW25113_0478	b0478	PA5529, PA5518
N0.HOG0000490	OG0000424	n0	GO593_08765	IX87_16855	ABUW_3427	HKO16_02325	BW25113_1232	b1232	PA4314, PA5420
N0.HOG0000491	OG0000425	n0	GO593_08850		ABUW_2020, ABUW_1998, ABUW_2031, ABUW_2009, ABUW_2048, ABUW_2038, ABUW_1986				
N0.HOG0000492	OG0000426	n0	GO593_08940	IX87_16985	ABUW_3401	HKO16_02455	BW25113_0437	b0437	PA1801, PA3326
N0.HOG0000493	OG0000427	n0	GO593_08980	IX87_17030	ABUW_3393	HKO16_02495	BW25113_1850	b1850	PA3131, PA3181
N0.HOG0000494	OG0000428	n0	GO593_09045	IX87_17095	ABUW_3380	HKO16_02560	BW25113_2517	b2517	PA3806, PA1839
N0.HOG0000495	OG0000429	n0	GO593_09080	IX87_17130	ABUW_3373	HKO16_02595	BW25113_2511	b2511	PA0391, PA3799
N0.HOG0000496	OG0000430	n0	GO593_09310	IX87_17375	ABUW_3305	HKO16_02935	BW25113_2421	b2421	PA1061, PA0932
N0.HOG0000497	OG0000431	n0	GO593_09350	IX87_17415	ABUW_3297	HKO16_02975	BW25113_0142	b0142	PA0583, PA4728
N0.HOG0000498	OG0000432	n0	GO593_09355	IX87_17420	ABUW_3296	HKO16_02980	BW25113_0134	b0134	PA4729, PA1598
N0.HOG0000499	OG0000433	n0	GO593_09465	IX87_17530	ABUW_3276	HKO16_03090	BW25113_3781	b3781	PA2694, PA5240
N0.HOG0000500	OG0000434	n0	GO593_09550	IX87_17615	ABUW_3259	HKO16_03175	BW25113_2346	b2346	PA2800, PA3239
N0.HOG0000501	OG0000435	n0	GO593_09655	IX87_19920, IX87_17720	ABUW_3238	HKO16_03280	BW25113_1813	b1813	PA3754
N0.HOG0000502	OG0000436	n0	GO593_09705	IX87_17770	ABUW_3321, ABUW_3228	HKO16_15535, HKO16_03330			PA3768, PA2065
N0.HOG0000503	OG0000437	n0	GO593_09915	IX87_18015	ABUW_3183	HKO16_03540	BW25113_2234	b2234	PA1156, PA5497
N0.HOG0000504	OG0000438	n0	GO593_09925	IX87_18025	ABUW_3181	HKO16_03545	BW25113_1608	b1608	PA1157, PA1799
N0.HOG0000505	OG0000439	n0	GO593_09930	IX87_18030	ABUW_3180	HKO16_03550	BW25113_1609	b1609	PA1158, PA1798
N0.HOG0000506	OG0000440	n0	GO593_09945	IX87_18075	ABUW_3177	HKO16_03565	BW25113_2288	b2288	PA2637, PA1883
N0.HOG0000507	OG0000441	n0	GO593_13140, GO593_10110	IX87_04495, IX87_18240	ABUW_2701, ABUW_3143	HKO16_06095, HKO16_03735			
N0.HOG0000508	OG0000442	n0	GO593_10200	IX87_20030, IX87_18340	ABUW_3124	HKO16_03825	BW25113_0845	b0845	PA3532
N0.HOG0000509	OG0000443	n0	GO593_10395	IX87_18535	ABUW_3085	HKO16_04020	BW25113_2593	b2593	PA1469, PA4543
N0.HOG0000510	OG0000444	n0	GO593_10435	IX87_01915	ABUW_3078	HKO16_04060	BW25113_3060, BW25113_1799	b3060, b1799	
N0.HOG0000511	OG0000445	n0	GO593_10455	IX87_01895	ABUW_3074, ABUW_1149	HKO16_04080	BW25113_1802	b1802	PA5410
N0.HOG0000512	OG0000446	n0	GO593_10520	IX87_01830	ABUW_3061	HKO16_04145	BW25113_3340	b3340	PA2071, PA4266
N0.HOG0000513	OG0000447	n0	GO593_10540	IX87_01795	ABUW_3057	HKO16_04165	BW25113_4373	b4373	PA1943, PA4678
N0.HOG0000514	OG0000448	n0	GO593_10580	IX87_01755	ABUW_3049	HKO16_04205	BW25113_1175	b1175	PA1454, PA3244
N0.HOG0000515	OG0000449	n0	GO593_10595	IX87_01740	ABUW_3046	HKO16_04220	BW25113_3862	b3862	PA0834, PA0461
N0.HOG0000516	OG0000450	n0	GO593_10605	IX87_01730	ABUW_2521, ABUW_3043	HKO16_04230	BW25113_3778	b3778	PA5296
N0.HOG0000517	OG0000451	n0	GO593_10680	IX87_01650	ABUW_3028	HKO16_04305	BW25113_0398	b0398	PA4281, PA0544
N0.HOG0000518	OG0000452	n0	GO593_10715	IX87_01615	ABUW_3021	HKO16_04340	BW25113_3820	b3820	PA1593, PA5246
N0.HOG0000519	OG0000453	n0	GO593_10965	IX87_00930	ABUW_2976	HKO16_04425	BW25113_1605	b1605	PA1194, PA5170
N0.HOG0000520	OG0000454	n0	GO593_10980	IX87_00905	ABUW_2973	HKO16_04440	BW25113_2210	b2210	PA4640, PA3452
N0.HOG0000521	OG0000455	n0	GO593_10995	IX87_00890	ABUW_2970	HKO16_04455	BW25113_0313	b0313	PA5374, PA4984
N0.HOG0000522	OG0000456	n0	GO593_11015	IX87_00870	ABUW_2966	HKO16_04475			PA0449, PA3741, PA2693, PA5519
N0.HOG0000523	OG0000457	n0	GO593_11240	IX87_05250, IX87_00640	ABUW_2920	HKO16_04705	BW25113_3801	b3801	PA0183
N0.HOG0000524	OG0000458	n0	GO593_11255	IX87_00625	ABUW_2916	HKO16_04720	BW25113_0584	b0584	PA0931, PA2688
N0.HOG0000525	OG0000459	n0	GO593_11270	IX87_00610	ABUW_2913	HKO16_04735	BW25113_0339	b0339	PA0102, PA2053
N0.HOG0000526	OG0000460	n0	GO593_11325	IX87_00560	ABUW_2903, ABUW_1151	HKO16_04790	BW25113_2711	b2711	PA5349
N0.HOG0000527	OG0000461	n0	GO593_11330	IX87_00555	ABUW_2902	HKO16_04795	BW25113_2710	b2710	PA5351, PA5350
N0.HOG0000528	OG0000462	n0	GO593_11510	IX87_00345	ABUW_2865	HKO16_04980	BW25113_0439	b0439	PA0779, PA1803
N0.HOG0000529	OG0000463	n0	GO593_11555	IX87_10650, IX87_08505, IX87_01575	ABUW_1252, ABUW_0736	HKO16_05585, HKO16_10870			
N0.HOG0000530	OG0000464	n0	GO593_11560, GO593_12620	IX87_00280, IX87_05100, IX87_08495, IX87_06130		HKO16_10865, HKO16_05590			
N0.HOG0000531	OG0000465	n0	GO593_18890, GO593_11685, GO593_19015	IX87_07060	ABUW_1495, ABUW_2517	HKO16_10755, HKO16_11760			
N0.HOG0000532	OG0000466	n0	GO593_11705, GO593_12725	IX87_04955, IX87_00100	ABUW_1289, ABUW_0772	HKO16_05685, HKO16_10740			
N0.HOG0000533	OG0000467	n0	GO593_12730, GO593_11710	IX87_00095, IX87_04950	ABUW_1290, ABUW_0773	HKO16_05690, HKO16_10735			
N0.HOG0000534	OG0000468	n0	GO593_11760	IX87_04890, IX87_08285, IX87_05945, IX87_00040	ABUW_0784, ABUW_1301	HKO16_10680			
N0.HOG0000535	OG0000469	n0	GO593_11925	IX87_05750	ABUW_2856	HKO16_05035	BW25113_2908	b2908	PA4498, PA5224
N0.HOG0000536	OG0000470	n0	GO593_11935	IX87_05740	ABUW_2854	HKO16_05045	BW25113_2906	b2906	PA4190, PA5221
N0.HOG0000537	OG0000471	n0	GO593_12170, GO593_11945	IX87_05730	ABUW_3665, ABUW_2852	HKO16_05055, HKO16_15485			PA3689
N0.HOG0000538	OG0000472	n0	GO593_12015	IX87_05660	ABUW_2838	HKO16_05125	BW25113_2178	b2178	PA2059, PA1809
N0.HOG0000539	OG0000473	n0	GO593_12020	IX87_05655	ABUW_2837	HKO16_05130	BW25113_2179	b2179	PA2060, PA1808
N0.HOG0000540	OG0000474	n0	GO593_12435, GO593_12490	IX87_05310, IX87_05235	ABUW_2782, ABUW_2771	HKO16_05400, HKO16_05455			
N0.HOG0000541	OG0000475	n0	GO593_12535, GO593_12550	IX87_05190, IX87_05175	ABUW_2762, ABUW_2759	HKO16_05500, HKO16_05515			
N0.HOG0000542	OG0000476	n0	GO593_12895	IX87_04765	ABUW_2748	HKO16_05865	BW25113_2697	b2697	PA0903, PA2106
N0.HOG0000543	OG0000477	n0	GO593_12900	IX87_04760	ABUW_2747	HKO16_05870	BW25113_2927	b2927	PA3195, PA0551
N0.HOG0000544	OG0000478	n0	GO593_14520, GO593_12955	IX87_03335, IX87_04705	ABUW_2438, ABUW_2736	HKO16_07005, HKO16_05925			
N0.HOG0000545	OG0000479	n0	GO593_12995	IX87_04665	ABUW_2728	HKO16_05965	BW25113_0838	b0838	PA1890, PA2813
N0.HOG0000546	OG0000480	n0	GO593_13215	IX87_04190, IX87_04425	ABUW_2621, ABUW_2673, ABUW_2686	HKO16_06375, HKO16_06170			
N0.HOG0000547	OG0000481	n0	GO593_13310, GO593_18685	IX87_06920	ABUW_1533	HKO16_11630	BW25113_3261	b3261	PA4853
N0.HOG0000548	OG0000482	n0	GO593_13390	IX87_01440, IX87_08405, IX87_07825			BW25113_1360, BW25113_4361	b1360, b4361	
N0.HOG0000549	OG0000483	n0	GO593_13615	IX87_04325	ABUW_2640	HKO16_06275	BW25113_0342, BW25113_0459	b0342, b0459	
N0.HOG0000550	OG0000484	n0	GO593_13970	IX87_03875	ABUW_2560	HKO16_06640	BW25113_0341	b0341	PA0273, PA2500
N0.HOG0000551	OG0000485	n0	GO593_14275	IX87_03610	ABUW_2489	HKO16_06845	BW25113_1412	b1412	PA0785, PA3223
N0.HOG0000552	OG0000486	n0	GO593_14565	IX87_03290	ABUW_2429	HKO16_07050			PA2577, PA4784, PA2246, PA4508
N0.HOG0000553	OG0000487	n0	GO593_14685	IX87_03160	ABUW_2407	HKO16_07175	BW25113_2142	b2142	PA3431, PA4013
N0.HOG0000554	OG0000488	n0	GO593_14840	IX87_02995	ABUW_2377	HKO16_07330	BW25113_0511	b0511	PA0476, PA0443
N0.HOG0000555	OG0000489	n0	GO593_14875	IX87_02955	ABUW_3668, ABUW_2370	HKO16_07365	BW25113_3501	b3501	PA2277
N0.HOG0000556	OG0000490	n0	GO593_14925	IX87_02905	ABUW_2360	HKO16_07415	BW25113_0184	b0184	PA0669, PA3640
N0.HOG0000557	OG0000491	n0	GO593_14955	IX87_02875	ABUW_2354	HKO16_13625, HKO16_07445	BW25113_1531	b1531	PA2281
N0.HOG0000558	OG0000492	n0	GO593_15020	IX87_02810	ABUW_2341	HKO16_07510	BW25113_0198	b0198	PA2351, PA5504
N0.HOG0000559	OG0000493	n0	GO593_15225	IX87_02610	ABUW_2052, ABUW_2310	HKO16_07660	BW25113_0938	b0938	PA2128
N0.HOG0000560	OG0000494	n0	GO593_15270	IX87_21860, IX87_16825, IX87_02560	ABUW_0563, ABUW_2300	HKO16_07705			PA5514
N0.HOG0000561	OG0000495	n0	GO593_15350	IX87_02480	ABUW_2284	HKO16_07785	BW25113_1120	b1120	PA1197, PA1125
N0.HOG0000562	OG0000496	n1			ABUW_4023	HKO16_00880			PA1462
N0.HOG0000563	OG0000496	n3	GO593_15455	IX87_02365	ABUW_2263	HKO16_07890			PA5563
N0.HOG0000564	OG0000497	n0	GO593_15525	IX87_02295	ABUW_2249	HKO16_07960	BW25113_3332	b3332	PA3097, PA0682
N0.HOG0000565	OG0000498	n0	GO593_15645, GO593_15640	IX87_18870, IX87_18865	ABUW_2225, ABUW_2226	HKO16_08345, HKO16_08340			
N0.HOG0000566	OG0000499	n0	GO593_15760	IX87_18985	ABUW_2202	HKO16_08460	BW25113_2530	b2530	PA2062, PA3814
N0.HOG0000567	OG0000500	n0	GO593_15965	IX87_19200		HKO16_08665	BW25113_0794, BW25113_3486	b0794, b3486	PA5231
N0.HOG0000568	OG0000501	n0	GO593_15975	IX87_19210		HKO16_08675	BW25113_0792, BW25113_3485	b0792, b3485	PA5230
N0.HOG0000569	OG0000502	n0	GO593_16040	IX87_19285	ABUW_2150	HKO16_08740	BW25113_3939	b3939	PA3107, PA0400
N0.HOG0000570	OG0000503	n0	GO593_16245	IX87_19540	ABUW_2101	HKO16_08985	BW25113_4327	b4327	PA5428, PA0815
N0.HOG0000571	OG0000504	n0	GO593_16265	IX87_19560	ABUW_2097	HKO16_09005	BW25113_2222	b2222	PA2000, PA0227
N0.HOG0000572	OG0000505	n0	GO593_16770	IX87_20375		HKO16_09335	BW25113_0158	b0158	PA2913, PA4708, PA4045
N0.HOG0000573	OG0000506	n0	GO593_16985, GO593_16995	IX87_20525	ABUW_1891, ABUW_1889	HKO16_09560, HKO16_09570			PA2719
N0.HOG0000574	OG0000507	n0	GO593_17110	IX87_20740	ABUW_1866	HKO16_09690	BW25113_1384	b1384	PA4070, PA4094
N0.HOG0000575	OG0000508	n0	GO593_17165	IX87_20800	ABUW_1855	HKO16_09745	BW25113_3093	b3093	PA4654, PA0241
N0.HOG0000576	OG0000509	n0	GO593_17315	IX87_20950	ABUW_1825	HKO16_09895	BW25113_2780	b2780	PA2268, PA3637
N0.HOG0000577	OG0000510	n0	GO593_17405	IX87_21040	ABUW_1806	HKO16_09985	BW25113_3772	b3772	PA1326, PA0331
N0.HOG0000578	OG0000511	n0	GO593_17455	IX87_21100	ABUW_1795	HKO16_10035	BW25113_0978, BW25113_0733	b0978, b0733	
N0.HOG0000579	OG0000512	n0	GO593_17460	IX87_21105	ABUW_1794	HKO16_10040	BW25113_0979, BW25113_0734	b0979, b0734	
N0.HOG0000580	OG0000513	n0	GO593_17485	IX87_21135	ABUW_1789	HKO16_10070	BW25113_3464	b3464	PA0373, PA1453
N0.HOG0000581	OG0000514	n0	GO593_17540	IX87_21190	ABUW_1777	HKO16_10125	BW25113_0401	b0401	PA1971, PA1590
