operon	strand	tss	condensed_name	Pathways	operon_genes	operon_AB19606	operon_AB030	Essentials in operon	total_size
TU286Y-1969	-	3715899	frr-uppS-cdsA-dxr	Other	frr, uppS, cdsA, dxr	GO593_17740, GO593_17735, GO593_17730, GO593_17725	IX87_21665, IX87_21660, IX87_21655, IX87_21650	4	5
TU286Y-1970	-	3716713	pyrH	Other	pyrH	GO593_17745	IX87_21670	1	1
TU286Y-2145	-	3724198	ispF	Other	ispF	GO593_17785	IX87_21705	1	1
TU286Y-1983	+	3731104	tusD	Other	tusD	GO593_17825	IX87_21755	1	1
TU286Y-1984	+	3731517	dsrEFH	Other	dsrEF, dsrH	GO593_17830, GO593_17835	IX87_21760, IX87_21765	2	3
TU286Y-1986	-	3738253	moaE	Other	moaE	GO593_17870	IX87_21800	1	5
TU286Y-1991	+	3754044	aroQ-accBC	Other	aroQ, accB, accC	GO593_17935, GO593_17940, GO593_17945	IX87_21895, IX87_21900, IX87_21905	3	3
TU286Y-1998	-	3767268	murB	Cell Wall/PG	murB	GO593_17990	IX87_06200	1	4
TU286Y-2002	-	3775862	dnaX	Other	dnaX	GO593_18020	IX87_06235	1	1
TU286Y-2021	-	3802836	GO593_18140	Other	GO593_18140	GO593_18140	IX87_06370	1	1
TU286Y-2131	-	3840239	glnS	tRNA Ligase	glnS	GO593_18295	IX87_06515	1	1
TU286Y-2041	+	3840932	lpxH	LOS	lpxH	GO593_18305	IX87_06525	1	2
TU286Y-2043	-	3844229	hfq	Other	hfq	GO593_18325	IX87_06545	1	1
TU286Y-2044	-	3847681	tsaE	Other	tsaE	GO593_18340	IX87_06560	1	3
TU286Y-2055	-	3859847	acnB	Other	acnB	GO593_18405	IX87_06625	1	1
TU286Y-2057	-	3867862	tamAB	Other	tamA, tamB	GO593_18420, GO593_18415	IX87_06640, IX87_06635	2	2
TU286Y-2058	+	3869353	coq7	Other	coq7	GO593_18430	IX87_06650	1	2
TU286Y-2060	-	3881326	folB	Other	folB	GO593_18475	IX87_06705	1	3
TU286Y-2064	-	3891168	prfA	Other	prfA	GO593_18520	IX87_06750	1	2
TU286Y-2074	+	3907335	cyoABCDE	Ox Phos	cyoA, cyoB, cyoC, cyoD, cyoE	GO593_18590, GO593_18595, GO593_18600, GO593_18605, GO593_18610	IX87_06820, IX87_06825, IX87_06830, IX87_06835, IX87_06840	5	5
TU286Y-2075	+	3912410	rpsFR	Ribosome	rpsF, rpsR	GO593_18615, GO593_18620	IX87_06845, IX87_06850	2	3
TU286Y-2076	+	3913688	dnaB	Other	dnaB	GO593_18630	IX87_06860	1	2
TU286Y-2080	+	3926248	fis	Other	fis	GO593_18685	IX87_06920	1	1
TU286Y-2085	+	3933747	GO593_18720	Other	GO593_18720	GO593_18720	IX87_06955	1	1
TU286Y-2089	+	3941867	GO593_18760	Other	GO593_18760	GO593_18760	unknown	1	1
TU286Y-2090	+	3943067	GO593_18770	Other	GO593_18770	GO593_18770	unknown	1	3
